id_tov,Наименование,Категория,Группа,Кол-во чеков за месяц,Единица измерения,Кол-во за месяц,Среднее кол-во за месяц,Сумма продаж за месяц
22 920,Рулет фисташковый с малиной,"Торты, пирожные, десерты",Рулеты,159,шт,169.00,1.06,68713.24
659,Груша Конференция,Овощи. Фрукты. Грибы. Зелень,Груши,344,кг,187.62,0.55,68473.25
71 178,"Изделие х/б ""Темный"", без глютена",Хлеб,Хлеб ржано-пшеничный,271,шт,335.00,1.24,68451.63
38 977,Салат свекольный с грецким орехом,Кулинария,Салаты,437,шт,471.00,1.08,68377.25
1 357,Орехи кедровые очищенные,"Сухофрукты. Сушеные овощи, грибы, ягоды. Орехи",Орехи,163,шт,185.00,1.13,68366.13
32 055,"Сыр ""Моцарелла"" детская, 120 г",Сыры,Сыры снековые,337,шт,388.00,1.15,68284.11
63 735,"Сосиски из мяса индейки и говядины для детей от 3-х лет, 240 г",Мясные деликатесы. Колбасы,Детские мясные продукты,217,шт,234.00,1.08,68163.95
63 121,"Форель радужная стейк охл., 450 г",Рыба. Морепродукты,Рыба и морепродукты охлажденные,76,шт,81.00,1.07,68151.1
59 796,Фрикадельки из индейки,Мясо. Птица. П/ф охл. Яйца,"Фрикадельки, тефтели, ежики",265,шт,309.00,1.17,68010
15 896,"Салат ""Грин Энерджи""",Кулинария,Салаты,318,шт,366.00,1.15,67877.29
42 356,"Дрип-кофе молотый ""Микс"", Verle (Перу, Эфиопия, Колумбия)",Бакалея,Кофе в Дрип пакетах,216,шт,231.00,1.07,67859.22
35 895,"Молоко ультрапастеризованное 3,2%",Молочная Продукция,Молоко ультрапастеризованное,340,шт,586.00,1.72,67795.46
27 485,"Блинчики мини с мясом, зам.",Замороженные п/ф,Блинчики мясо зам,238,шт,265.00,1.11,67789.98
79 888,"Сметана 10%, 450 г_РП",Региональная полка СПб,Молочная Продукция (РПС),439,шт,464.00,1.06,67755.08
67 708,Колбаса вареная Вязанка Докторская ГОСТ 400 г,Мировые бренды,Гастрономия Мясо (МБ),241,шт,253.00,1.05,67426.16
65 192,"Изделие х/б ""Цельнозерновой"" полбяной с семенами льна",Хлеб,Хлеб зерновой,550,шт,578.00,1.05,67419.25
53 105,"Панна-котта ""Манго- маракуйя"" без доб. сахара","Торты, пирожные, десерты",Десерты молочные,278,шт,381.00,1.37,67106.91
39 480,Запеканка творожная с черникой,Кулинария,Готовые молочные блюда,296,шт,330.00,1.11,67047.49
15 197,"Ассорти из зелени, 100 г",Овощи. Фрукты. Грибы. Зелень,Зелень,756,шт,764.00,1.01,66952
25 290,"Салат ""Оливье"", 150 г",Кулинария,Салаты,440,шт,478.00,1.09,66876.93
23 954,"Сэндвич ролл с курицей и соусом ""Дор-Блю""",Кулинария,Сэндвич ролл,316,шт,354.00,1.12,66859.42
